Term,Services,Definition
ABORT,[A/S],Directive to cease action/attack/event/mission.
ANCHOR,[ALL],Orbit about a specific point; refueling track flown by tanker.
ANGELS,[A/A],Height of friendly aircraft in thousands of feet mean sea level (MSL).
ANYFACE,[ALL],FRIENDLY command and control agency when call sign is not known.
ARIZONA,[A/S],No ARM ordnance remaining.
AS FRAGGED,[ALL],Unit or element will be performing exactly as stated by the air tasking order.
AUTHENTICATE,[ALL],To request or provide a response to a coded challenge.
AUTOCAT,[ALL],Any communications relay using automatic retransmissions.
(weapon) AWAY,[ALL],Release/launch of specified weapon.
AZIMUTH,[A/A],A picture label describing two groups separated laterally.
BAD MAP,[A/S],"Informative call that the displayed map is unusable due to contrast/resolution/terrain masking, etc."
BANDIT,[A/A] [AIR-MAR],Positively identified as an enemy IAW theater identification criteria. The term does not imply direction or authority to engage.
BANZAI,[A/A],Execute(ing) launch and decide tactics with the intent to maneuver into the visual arena.
BASE [+/- number],[ALL],"Reference number used to indicate such information as altitude, fuel, or distance from a reference point."
BAT(S),[A/S],"FRIENDLY net-enabled glide weapon(s) with weapon-to-weapon communication capability (e.g., SDB II)."
BAY,[EW],Carry out deception plan indicated or IAW previous orders.
BEAD WINDOW,[ALL],Last transmission potentially disclosed unauthorized information.
BEAM [direction],[A/A],CONTACT stabilized within 60-109 degrees of aspect.
BEAM RIDER [direction],[A/A] [A/S],Potential JAMMER along the stated azimuth/direction.
[system] BENT,[ALL],System indicated is inoperative. Cancelled by SWEET.
BERETTA,[A/S],Aircraft is out of or unable to employ long-range precision guided munitions.
BIG STICK,[S/A],FRIENDLY long-range surface-to-air missile (SAM).
BINGO,[ALL],Prebriefed fuel state needed for recovery.
BIRD(S) [S/A],[S/A],"FRIENDLY surface-to-air missile(s). Modifiers include: AWAY, DEFEATED, ENGAGED."
BIRDDOG,[ALL],"Call to configure sensors IAW mission-specific instructions (e.g., for target tracking)."
BITTERSWEET,[ALL],Notification of potential for blue-on-blue (friendly fire) situation.
BLACKOUT,[A/S],Directive to turn off all external aircraft lighting.
BLIND,[ALL],No visual contact with FRIENDLY aircraft/ground position; opposite of VISUAL.
BLOW THROUGH,[A/A],Directive or informative call that indicates aircraft will continue straight ahead at the merge and not become anchored with target/targets.
BOGEY,[A/A] [S/A],A radar or visual air contact whose identity is unknown.
BRAA,[A/A] [S/A],"Tactical control format providing Bearing, Range, Altitude, and Aspect relative to the specified FRIENDLY aircraft."
BRUISER,[A/S] [AIR-MAR],FRIENDLY air-launched anti-ship missile.
BUDDY LOCK,[A/A],Radar locked to a known FRIENDLY aircraft. Response to a SPIKE or BUDDY SPIKE call.
BUDDY SPIKE,[A/A],FRIENDLY aircraft air-to-air radar track indication on radar warning receiver (RWR).
BULLSEYE,[ALL],An established reference point from which the position of an object can be referenced by bearing (magnetic) and range (nm).
BUSTER,[ALL],Directive to fly at maximum continuous speed (military power).
CAP [location],[A/A],Directive call to establish a combat air patrol at a specified point.
CAPPING [location],[A/A],Descriptive term for aircraft in a CAP.
CAPTURED,[A/S],Aircrew has acquired and is able to track a specified ground target with an onboard sensor.
CHEAPSHOT,[A/A],Active missile data link terminated between high and medium pulse repetition frequency active.
CLEAN,[A/A] [S/A],No sensor information on a GROUP of interest.
CLEARED HOT,[A/S] [S/S],Ordnance release is authorized. Typically used in CAS.
CLEARED TO ENGAGE,[A/S] [S/A],Used by JTAC/FAC(A) to grant weapons release authority in Type 3 control.
CLOAK,[ALL],Directive/informative call to switch from normal/overt external lighting to covert NVD-only lighting.
CLOSING,[A/A],Decreasing in separation.
COLD,[A/A],Initiate turn in the CAP away from the anticipated threats.
COLOR [system],[ALL],Request for information on a system at stated location; implies a request for ambiguity resolution.
